threshold,fragmented_genera,fused_genera
0.01,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Tsukamurella|Mycolicibacterium|Mycobacteroides|Williamsia|Mycobacterium|Gordonia|Mycolicibacillus|Mycolicibacter,
0.02,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Tsukamurella|Mycolicibacterium|Williamsia|Mycobacterium|Gordonia|Mycolicibacillus|Mycolicibacter,
0.03,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Tsukamurella|Mycolicibacterium|Williamsia|Mycobacterium|Gordonia|Mycolicibacillus,
0.04,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Tsukamurella|Mycolicibacterium|Williamsia|Mycobacterium|Gordonia|Mycolicibacillus,
0.05,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia|Mycobacterium|Gordonia,
0.06,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia|Mycobacterium|Gordonia,
0.07,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia|Gordonia,
0.08,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia|Gordonia,
0.09,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia|Gordonia,Hoyosella|Lolliginicoccus
0.1,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia|Gordonia,Mycolicibacter|Hoyosella|Lolliginicoccus|Mycolicibacillus
0.11,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia|Gordonia,Mycolicibacter|Hoyosella|Mycobacterium|Lolliginicoccus|Mycolicibacillus
0.12,Nocardia|Antrihabitans|Rhodococcoides|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia,Mycolicibacter|Hoyosella|Mycobacterium|Lolliginicoccus|Mycolicibacillus
0.13,Nocardia|Antrihabitans|Rhodococcoides|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia,Mycolicibacter|Hoyosella|Mycobacterium|Lolliginicoccus|Mycolicibacillus|Mycolicibacterium
0.14,Nocardia|Antrihabitans|Rhodococcoides|Tomitella|Rhodococcus|Williamsia,Mycolicibacter|Hoyosella|Mycobacterium|Lolliginicoccus|Mycolicibacillus|Mycolicibacterium
0.15,Nocardia|Antrihabitans|Rhodococcoides|Tomitella|Rhodococcus|Williamsia,Mycolicibacter|Hoyosella|Mycobacterium|Lolliginicoccus|Mycolicibacillus|Mycolicibacterium
0.16,Nocardia|Antrihabitans|Rhodococcoides|Tomitella|Rhodococcus|Williamsia,Mycolicibacter|Hoyosella|Williamsia|Mycobacterium|Gordonia|Lolliginicoccus|Mycolicibacillus|Mycolicibacterium
0.17,Nocardia|Antrihabitans|Rhodococcoides|Rhodococcus|Williamsia,Mycolicibacter|Hoyosella|Williamsia|Mycobacterium|Gordonia|Lolliginicoccus|Mycolicibacillus|Mycolicibacterium
0.18,Nocardia|Antrihabitans|Rhodococcoides|Rhodococcus,Mycolicibacter|Hoyosella|Williamsia|Mycobacterium|Gordonia|Lolliginicoccus|Mycolicibacillus|Mycolicibacterium
0.19,Antrihabitans|Rhodococcoides|Rhodococcus,Mycolicibacter|Jongsikchunia|Williamsia|Mycobacterium|Gordonia|Mycobacteroides|Lolliginicoccus|Mycolicibacillus|Hoyosella|Mycolicibacterium
0.2,Antrihabitans|Rhodococcoides|Rhodococcus,Mycolicibacter|Jongsikchunia|Williamsia|Mycobacterium|Gordonia|Mycobacteroides|Lolliginicoccus|Mycolicibacillus|Hoyosella|Mycolicibacterium
0.21,Antrihabitans|Rhodococcoides|Rhodococcus,Mycolicibacter|Jongsikchunia|Williamsia|Mycobacterium|Gordonia|Mycobacteroides|Lolliginicoccus|Mycolicibacillus|Hoyosella|Mycolicibacterium
0.22,Antrihabitans|Rhodococcoides|Rhodococcus,Mycolicibacter|Jongsikchunia|Williamsia|Mycobacterium|Gordonia|Mycobacteroides|Lolliginicoccus|Mycolicibacillus|Hoyosella|Mycolicibacterium
0.23,Antrihabitans|Rhodococcoides|Rhodococcus,Mycolicibacter|Jongsikchunia|Williamsia|Mycobacterium|Gordonia|Mycobacteroides|Lolliginicoccus|Mycolicibacillus|Prescottella|Hoyosella|Rhodococcus|Mycolicibacterium
0.24,Rhodococcoides|Rhodococcus,Mycolicibacter|Jongsikchunia|Williamsia|Mycobacterium|Gordonia|Mycobacteroides|Lolliginicoccus|Mycolicibacillus|Prescottella|Tsukamurella|Hoyosella|Rhodococcus|Mycolicibacterium
0.25,Rhodococcoides|Rhodococcus,Mycolicibacter|Jongsikchunia|Williamsia|Mycobacterium|Gordonia|Mycobacteroides|Lolliginicoccus|Mycolicibacillus|Prescottella|Tsukamurella|Hoyosella|Rhodococcus|Mycolicibacterium
0.26,Rhodococcoides,Mycolicibacter|Jongsikchunia|Williamsia|Mycobacterium|Gordonia|Mycobacteroides|Lolliginicoccus|Mycolicibacillus|Prescottella|Tsukamurella|Hoyosella|Rhodococcus|Mycolicibacterium
0.27,Rhodococcoides,Mycolicibacter|Jongsikchunia|Williamsia|Mycobacterium|Gordonia|Mycobacteroides|Tomitella|Mycolicibacillus|Lolliginicoccus|Prescottella|Tsukamurella|Hoyosella|Rhodococcus|Mycolicibacterium
0.28,Rhodococcoides,Mycolicibacter|Jongsikchunia|Williamsia|Mycobacterium|Gordonia|Rhodococcoides|Mycobacteroides|Mycolicibacillus|Tomitella|Prescottella|Tsukamurella|Hoyosella|Lolliginicoccus|Rhodococcus|Mycolicibacterium
0.29,Rhodococcoides,Mycolicibacter|Jongsikchunia|Millisia|Williamsia|Mycobacterium|Gordonia|Rhodococcoides|Mycobacteroides|Mycolicibacillus|Tomitella|Prescottella|Tsukamurella|Hoyosella|Lolliginicoccus|Rhodococcus|Mycolicibacterium
0.3,Rhodococcoides,Mycolicibacter|Jongsikchunia|Millisia|Williamsia|Mycobacterium|Gordonia|Rhodococcoides|Mycobacteroides|Mycolicibacillus|Tomitella|Prescottella|Tsukamurella|Hoyosella|Lolliginicoccus|Rhodococcus|Mycolicibacterium
0.31,Rhodococcoides,Mycolicibacter|Jongsikchunia|Millisia|Williamsia|Mycobacterium|Gordonia|Rhodococcoides|Mycobacteroides|Tomitella|Lolliginicoccus|Mycolicibacillus|Tsukamurella|Hoyosella|Prescottella|Rhodococcus|Mycolicibacterium
0.32,Rhodococcoides,Mycolicibacter|Jongsikchunia|Millisia|Williamsia|Mycobacterium|Gordonia|Rhodococcoides|Mycobacteroides|Tomitella|Lolliginicoccus|Mycolicibacillus|Tsukamurella|Hoyosella|Prescottella|Rhodococcus|Mycolicibacterium
0.33,Rhodococcoides,Mycolicibacter|Jongsikchunia|Williamsia|Millisia|Mycobacterium|Gordonia|Rhodococcoides|Tomitella|Lolliginicoccus|Mycobacteroides|Prescottella|Mycolicibacillus|Hoyosella|Tsukamurella|Rhodococcus|Mycolicibacterium
0.34,Rhodococcoides,Mycolicibacter|Jongsikchunia|Williamsia|Millisia|Mycobacterium|Gordonia|Rhodococcoides|Tomitella|Lolliginicoccus|Mycobacteroides|Prescottella|Mycolicibacillus|Hoyosella|Tsukamurella|Rhodococcus|Mycolicibacterium
0.35,,Jongsikchunia|Mycobacterium|Gordonia|Tomitella|Rhodococcoides|Lolliginicoccus|Mycolicibacillus|Mycolicibacter|Millisia|Williamsia|Mycobacteroides|Prescottella|Tsukamurella|Hoyosella|Rhodococcus|Mycolicibacterium
0.36,,Jongsikchunia|Mycobacterium|Gordonia|Tomitella|Rhodococcoides|Lolliginicoccus|Mycolicibacillus|Mycolicibacter|Millisia|Williamsia|Mycobacteroides|Prescottella|Tsukamurella|Hoyosella|Rhodococcus|Mycolicibacterium
0.37,,Jongsikchunia|Mycobacterium|Gordonia|Tomitella|Rhodococcoides|Lolliginicoccus|Mycolicibacillus|Mycolicibacter|Millisia|Williamsia|Mycobacteroides|Prescottella|Tsukamurella|Hoyosella|Antrihabitans|Rhodococcus|Mycolicibacterium
0.38,,Jongsikchunia|Mycobacterium|Gordonia|Tomitella|Rhodococcoides|Lolliginicoccus|Mycolicibacillus|Mycolicibacter|Millisia|Williamsia|Mycobacteroides|Prescottella|Tsukamurella|Hoyosella|Antrihabitans|Rhodococcus|Mycolicibacterium
0.39,,Jongsikchunia|Mycobacterium|Gordonia|Rhodococcoides|Tomitella|Lolliginicoccus|Mycolicibacillus|Nocardia|Mycolicibacter|Millisia|Williamsia|Mycobacteroides|Prescottella|Tsukamurella|Hoyosella|Antrihabitans|Rhodococcus|Mycolicibacterium
0.4,,Aldersonia|Jongsikchunia|Mycobacterium|Gordonia|Rhodococcoides|Lolliginicoccus|Tomitella|Mycolicibacillus|Nocardia|Mycolicibacter|Williamsia|Millisia|Mycobacteroides|Prescottella|Antrihabitans|Tsukamurella|Hoyosella|Rhodococcus|Mycolicibacterium
0.41,,Aldersonia|Jongsikchunia|Mycobacterium|Gordonia|Rhodococcoides|Lolliginicoccus|Tomitella|Mycolicibacillus|Nocardia|Mycolicibacter|Williamsia|Millisia|Mycobacteroides|Prescottella|Antrihabitans|Tsukamurella|Hoyosella|Rhodococcus|Mycolicibacterium
0.42,,Aldersonia|Jongsikchunia|Mycobacterium|Gordonia|Rhodococcoides|Lolliginicoccus|Tomitella|Mycolicibacillus|Nocardia|Mycolicibacter|Williamsia|Millisia|Mycobacteroides|Prescottella|Antrihabitans|Tsukamurella|Hoyosella|Rhodococcus|Mycolicibacterium
0.43,,Aldersonia|Jongsikchunia|Mycobacterium|Gordonia|Rhodococcoides|Lolliginicoccus|Tomitella|Mycolicibacillus|Skermania|Nocardia|Mycolicibacter|Williamsia|Millisia|Mycobacteroides|Prescottella|Antrihabitans|Tsukamurella|Hoyosella|Rhodococcus|Mycolicibacterium
0.44,,Aldersonia|Jongsikchunia|Mycobacterium|Gordonia|Rhodococcoides|Lolliginicoccus|Tomitella|Mycolicibacillus|Skermania|Nocardia|Mycolicibacter|Williamsia|Millisia|Mycobacteroides|Prescottella|Antrihabitans|Tsukamurella|Hoyosella|Rhodococcus|Mycolicibacterium
