threshold,fragmented_genera,fused_genera
0.01,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Tsukamurella|Mycolicibacterium|Mycobacteroides|Williamsia|Mycobacterium|Gordonia|Mycolicibacillus|Mycolicibacter,
0.02,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Tsukamurella|Mycolicibacterium|Williamsia|Mycobacterium|Gordonia|Mycolicibacillus|Mycolicibacter,
0.03,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Tsukamurella|Mycolicibacterium|Williamsia|Mycobacterium|Gordonia|Mycolicibacillus,
0.04,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Tsukamurella|Mycolicibacterium|Williamsia|Mycobacterium|Gordonia|Mycolicibacillus,
0.05,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia|Mycobacterium|Gordonia,
0.06,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia|Mycobacterium|Gordonia,
0.07,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia|Gordonia,
0.08,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia|Gordonia,
0.09,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia|Gordonia,Lolliginicoccus|Hoyosella
0.1,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia|Gordonia,Lolliginicoccus|Hoyosella|Mycolicibacter|Mycolicibacillus
0.11,Nocardia|Antrihabitans|Rhodococcoides|Hoyosella|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia|Gordonia,Mycobacterium|Hoyosella|Lolliginicoccus|Mycolicibacillus|Mycolicibacter
0.12,Nocardia|Antrihabitans|Rhodococcoides|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia,Mycobacterium|Hoyosella|Lolliginicoccus|Mycolicibacillus|Mycolicibacter
0.13,Nocardia|Antrihabitans|Rhodococcoides|Tomitella|Rhodococcus|Mycolicibacterium|Williamsia,Mycobacterium|Hoyosella|Lolliginicoccus|Mycolicibacterium|Mycolicibacillus|Mycolicibacter
0.14,Nocardia|Antrihabitans|Rhodococcoides|Tomitella|Rhodococcus|Williamsia,Mycobacterium|Hoyosella|Lolliginicoccus|Mycolicibacterium|Mycolicibacillus|Mycolicibacter
0.15,Nocardia|Antrihabitans|Rhodococcoides|Tomitella|Rhodococcus|Williamsia,Mycobacterium|Hoyosella|Lolliginicoccus|Mycolicibacterium|Mycolicibacillus|Mycolicibacter
0.16,Nocardia|Antrihabitans|Rhodococcoides|Tomitella|Rhodococcus|Williamsia,Mycobacterium|Hoyosella|Lolliginicoccus|Mycolicibacterium|Williamsia|Mycolicibacillus|Gordonia|Mycolicibacter
0.17,Nocardia|Antrihabitans|Rhodococcoides|Rhodococcus|Williamsia,Mycobacterium|Hoyosella|Lolliginicoccus|Mycolicibacterium|Williamsia|Mycolicibacillus|Gordonia|Mycolicibacter
0.18,Nocardia|Antrihabitans|Rhodococcoides|Rhodococcus,Mycobacterium|Hoyosella|Lolliginicoccus|Mycolicibacterium|Williamsia|Mycolicibacillus|Gordonia|Mycolicibacter
0.19,Antrihabitans|Rhodococcoides|Rhodococcus,Mycobacterium|Mycobacteroides|Mycolicibacterium|Williamsia|Gordonia|Mycolicibacter|Jongsikchunia|Hoyosella|Lolliginicoccus|Mycolicibacillus
0.2,Antrihabitans|Rhodococcoides|Rhodococcus,Mycobacterium|Mycobacteroides|Mycolicibacterium|Williamsia|Gordonia|Mycolicibacter|Jongsikchunia|Hoyosella|Lolliginicoccus|Mycolicibacillus
0.21,Antrihabitans|Rhodococcoides|Rhodococcus,Mycobacterium|Mycobacteroides|Mycolicibacterium|Williamsia|Gordonia|Mycolicibacter|Jongsikchunia|Hoyosella|Lolliginicoccus|Mycolicibacillus
0.22,Antrihabitans|Rhodococcoides|Rhodococcus,Mycobacterium|Mycobacteroides|Mycolicibacterium|Williamsia|Gordonia|Mycolicibacter|Jongsikchunia|Hoyosella|Lolliginicoccus|Mycolicibacillus
0.23,Antrihabitans|Rhodococcoides|Rhodococcus,Mycobacterium|Mycobacteroides|Mycolicibacterium|Williamsia|Gordonia|Mycolicibacter|Jongsikchunia|Rhodococcus|Hoyosella|Lolliginicoccus|Prescottella|Mycolicibacillus
0.24,Rhodococcoides|Rhodococcus,Mycobacterium|Mycolicibacterium|Williamsia|Lolliginicoccus|Gordonia|Mycolicibacter|Jongsikchunia|Tsukamurella|Rhodococcus|Hoyosella|Mycobacteroides|Prescottella|Mycolicibacillus
0.25,Rhodococcoides|Rhodococcus,Mycobacterium|Mycolicibacterium|Williamsia|Lolliginicoccus|Gordonia|Mycolicibacter|Jongsikchunia|Tsukamurella|Rhodococcus|Hoyosella|Mycobacteroides|Prescottella|Mycolicibacillus
0.26,Rhodococcoides,Mycobacterium|Mycolicibacterium|Williamsia|Lolliginicoccus|Gordonia|Mycolicibacter|Jongsikchunia|Tsukamurella|Rhodococcus|Hoyosella|Mycobacteroides|Prescottella|Mycolicibacillus
0.27,Rhodococcoides,Tomitella|Mycobacterium|Mycolicibacterium|Williamsia|Lolliginicoccus|Gordonia|Mycolicibacter|Jongsikchunia|Tsukamurella|Rhodococcus|Hoyosella|Mycobacteroides|Prescottella|Mycolicibacillus
0.28,Rhodococcoides,Tomitella|Rhodococcoides|Mycobacterium|Mycolicibacterium|Williamsia|Lolliginicoccus|Gordonia|Mycolicibacter|Jongsikchunia|Tsukamurella|Rhodococcus|Hoyosella|Mycobacteroides|Prescottella|Mycolicibacillus
0.29,Rhodococcoides,Tomitella|Rhodococcoides|Mycobacterium|Mycolicibacterium|Williamsia|Lolliginicoccus|Gordonia|Mycolicibacter|Jongsikchunia|Millisia|Rhodococcus|Tsukamurella|Hoyosella|Mycobacteroides|Prescottella|Mycolicibacillus
0.3,Rhodococcoides,Tomitella|Rhodococcoides|Mycobacterium|Mycolicibacterium|Williamsia|Lolliginicoccus|Gordonia|Mycolicibacter|Jongsikchunia|Millisia|Rhodococcus|Tsukamurella|Hoyosella|Mycobacteroides|Prescottella|Mycolicibacillus
0.31,Rhodococcoides,Tomitella|Rhodococcoides|Mycobacterium|Mycolicibacterium|Williamsia|Lolliginicoccus|Gordonia|Mycolicibacter|Jongsikchunia|Millisia|Tsukamurella|Hoyosella|Rhodococcus|Mycobacteroides|Prescottella|Mycolicibacillus
0.32,Rhodococcoides,Tomitella|Rhodococcoides|Mycobacterium|Mycolicibacterium|Williamsia|Lolliginicoccus|Gordonia|Mycolicibacter|Jongsikchunia|Millisia|Tsukamurella|Hoyosella|Rhodococcus|Mycobacteroides|Prescottella|Mycolicibacillus
0.33,Rhodococcoides,Tomitella|Rhodococcoides|Mycobacterium|Mycobacteroides|Mycolicibacterium|Williamsia|Gordonia|Mycolicibacter|Jongsikchunia|Tsukamurella|Rhodococcus|Hoyosella|Millisia|Lolliginicoccus|Prescottella|Mycolicibacillus
0.34,Rhodococcoides,Tomitella|Rhodococcoides|Mycobacterium|Mycobacteroides|Mycolicibacterium|Williamsia|Gordonia|Mycolicibacter|Jongsikchunia|Tsukamurella|Rhodococcus|Hoyosella|Millisia|Lolliginicoccus|Prescottella|Mycolicibacillus
0.35,,Tomitella|Mycobacterium|Mycolicibacterium|Williamsia|Mycolicibacter|Rhodococcus|Mycobacteroides|Lolliginicoccus|Prescottella|Rhodococcoides|Gordonia|Jongsikchunia|Millisia|Tsukamurella|Hoyosella|Mycolicibacillus
0.36,,Tomitella|Mycobacterium|Mycolicibacterium|Williamsia|Mycolicibacter|Rhodococcus|Mycobacteroides|Lolliginicoccus|Prescottella|Rhodococcoides|Gordonia|Jongsikchunia|Millisia|Tsukamurella|Hoyosella|Mycolicibacillus
0.37,,Tomitella|Mycobacterium|Mycolicibacterium|Williamsia|Mycolicibacter|Rhodococcus|Mycobacteroides|Lolliginicoccus|Prescottella|Rhodococcoides|Antrihabitans|Gordonia|Jongsikchunia|Millisia|Tsukamurella|Hoyosella|Mycolicibacillus
0.38,,Tomitella|Mycobacterium|Mycolicibacterium|Williamsia|Mycolicibacter|Rhodococcus|Mycobacteroides|Lolliginicoccus|Prescottella|Rhodococcoides|Antrihabitans|Gordonia|Jongsikchunia|Millisia|Tsukamurella|Hoyosella|Mycolicibacillus
0.39,,Tomitella|Mycobacterium|Mycolicibacterium|Williamsia|Mycolicibacter|Rhodococcus|Nocardia|Mycobacteroides|Lolliginicoccus|Prescottella|Rhodococcoides|Antrihabitans|Gordonia|Jongsikchunia|Millisia|Tsukamurella|Hoyosella|Mycolicibacillus
0.4,,Tomitella|Mycobacterium|Aldersonia|Mycolicibacterium|Williamsia|Mycolicibacter|Rhodococcus|Nocardia|Mycobacteroides|Lolliginicoccus|Prescottella|Rhodococcoides|Antrihabitans|Gordonia|Jongsikchunia|Millisia|Tsukamurella|Hoyosella|Mycolicibacillus
0.41,,Tomitella|Mycobacterium|Aldersonia|Mycolicibacterium|Williamsia|Mycolicibacter|Rhodococcus|Nocardia|Mycobacteroides|Lolliginicoccus|Prescottella|Rhodococcoides|Antrihabitans|Gordonia|Jongsikchunia|Millisia|Tsukamurella|Hoyosella|Mycolicibacillus
0.42,,Tomitella|Mycobacterium|Aldersonia|Mycolicibacterium|Williamsia|Mycolicibacter|Rhodococcus|Nocardia|Mycobacteroides|Lolliginicoccus|Prescottella|Rhodococcoides|Antrihabitans|Gordonia|Jongsikchunia|Millisia|Tsukamurella|Hoyosella|Mycolicibacillus
0.43,,Tomitella|Mycobacterium|Aldersonia|Mycolicibacterium|Williamsia|Mycolicibacter|Rhodococcus|Nocardia|Mycobacteroides|Lolliginicoccus|Prescottella|Rhodococcoides|Antrihabitans|Skermania|Gordonia|Jongsikchunia|Millisia|Tsukamurella|Hoyosella|Mycolicibacillus
0.44,,Tomitella|Mycobacterium|Aldersonia|Mycolicibacterium|Williamsia|Mycolicibacter|Rhodococcus|Nocardia|Mycobacteroides|Lolliginicoccus|Prescottella|Rhodococcoides|Antrihabitans|Skermania|Gordonia|Jongsikchunia|Millisia|Tsukamurella|Hoyosella|Mycolicibacillus
