	mean_corr
1	
2	
3	
4	
5	0.9969234380572947
6	0.9967989353015957
7	0.9969234380572947
8	0.9967989353015957
9	
10	0.9990176634159021
11	0.9990176634159021
12	
13	0.9970285820773274
14	0.9970285820773273
15	
16	
17	0.9995396900917397
18	0.9995418961700837
19	0.9993555060461521
20	0.9996102372448807
21	0.9996102372448807
22	0.9996695740352775
23	0.9996695740352776
24	0.9985377848418473
25	0.9992992409937129
26	0.9989984877453575
27	0.9993431413333572
28	
29	0.9993431413333572
30	
31	
32	0.9997025603978841
33	
34	
35	0.9997025603978841
36	
37	
38	
39	
40	
41	
42	
43	
44	
45	
46	
47	
48	
49	0.9993834804741114
50	0.9993834804741114
51	0.9968775988763501
52	0.9980360472412234
53	0.9983627541644784
54	0.9978699175916113
55	0.9978699175916114
56	
