	mean_corr
1	
2	
3	
4	
5	0.9800696387587963
6	0.9710465611475153
7	0.9800696387587963
8	0.9710465611475153
9	
10	0.983845536879945
11	0.9838455368799449
12	
13	0.9909572338906061
14	0.990957233890606
15	
16	
17	0.9843314278495494
18	0.9822388463911282
19	0.9799321514715957
20	0.9980852807416296
21	0.9980852807416296
22	0.9896924342986687
23	0.9896924342986686
24	0.980256948056396
25	0.9857751818539305
26	0.9908773597197438
27	0.9715116957030894
28	
29	0.9715116957030894
30	
31	
32	0.9889868643648506
33	
34	
35	0.9889868643648506
36	
37	
38	
39	
40	
41	
42	
43	
44	
45	
46	
47	
48	
49	0.9933611783801132
50	0.9933611783801132
51	0.995315511708217
52	0.9938933231505445
53	0.994370542884228
54	0.9974483579747173
55	0.9974483579747174
56	
