	mean_corr
1	
2	
3	
4	
5	0.9672715594418333
6	0.9670210362577928
7	0.9599427759648509
8	0.9686147116237233
9	0.9702828040705
10	0.9650865802400259
11	0.9627913198515912
12	0.9821489033224415
13	0.9907869913997553
14	0.9883904940000134
15	
16	
17	0.9548457170887709
18	0.955506467705178
19	0.9587279986191316
20	0.9996102372448807
21	0.9996102372448807
22	0.9583874796245093
23	0.9583383415937355
24	0.9444175168617883
25	0.9374822311506611
26	0.9360938137498988
27	0.9563098630851192
28	0.9619317977467292
29	0.9568896240088536
30	
31	0.992415008054518
32	0.9883422056719569
33	0.991204907175863
34	0.9917131538098473
35	0.9882578817204698
36	
37	0.9866868451041477
38	0.9995952993587932
39	
40	0.9995952993587932
41	
42	
43	0.9866868451041477
44	0.9988539778236439
45	0.9988539778236442
46	
47	
48	0.8194540876114741
49	0.9109417221840332
50	0.9078958459015523
51	0.9968775988763501
52	0.9980360472412234
53	0.9983627541644784
54	0.9240871351533977
55	0.9270253165478964
56	0.9380688817628484
