	mean_AF
1	
2	
3	
4	
5	63.98888888888889
6	73.04222222222224
7	69.10222222222222
8	71.4011111111111
9	71.12222222222222
10	69.78
11	71.2988888888889
12	65.27000000000001
13	78.69
14	74.60499999999999
15	
16	
17	72.915
18	66.179
19	68.45
20	86.1
21	87.49
22	80.359
23	81.475
24	73.929
25	75.13199999999999
26	76.86299999999999
27	56.386
28	71.74
29	64.477
30	
31	76.0575
32	65.9225
33	70.0925
34	61.8975
35	58.707499999999996
36	
37	61.65
38	77.7
39	
40	73.65
41	
42	
43	75.88
44	78.47
45	78.12
46	
47	
48	69.91499999999999
49	80.385
50	76.845
51	78.255
52	75.555
53	77.31
54	72.03444444444443
55	69.90000000000002
56	68.89777777777778
