	mean_corr
1	
2	
3	
4	
5	0.9568179144949678
6	0.9198244516529862
7	0.963283002924553
8	0.9511307203688949
9	0.9474961524760123
10	0.9661354682489974
11	0.9634142167293436
12	0.9562148200893903
13	0.9717713223703175
14	0.9754007316096789
15	
16	
17	0.9397632359755036
18	0.9336633381054338
19	0.9438448096702954
20	0.9980852807416296
21	0.9980852807416296
22	0.9329042445111275
23	0.9361983080726599
24	0.9355395696868124
25	0.9170377703637795
26	0.9265199339988837
27	0.8428994370125282
28	0.9378018995696642
29	0.9020693353193577
30	
31	0.9850713418598682
32	0.9899423585185266
33	0.9905532363425315
34	0.9904448888425702
35	0.9870319235414575
36	
37	0.9859582731316643
38	0.989194638623506
39	
40	0.989194638623506
41	
42	
43	0.9859582731316643
44	0.9956120611838083
45	0.9956120611838082
46	
47	
48	0.9499594472371553
49	0.9727055912645877
50	0.9706150343526809
51	0.995315511708217
52	0.9938933231505445
53	0.994370542884228
54	0.9304418296944612
55	0.93100780292416
56	0.9587724597844924
