	mean_ML_similarity
1	
2	
3	
4	
5	0.6586574588462764
6	0.5793048992768733
7	0.685969098551657
8	0.6301211580403128
9	0.5956754627328842
10	0.6989293441533099
11	0.6803456298765116
12	0.7451278525278286
13	0.7406919851983427
14	0.7458368943330165
15	
16	
17	0.7278271339821424
18	0.7354693450941242
19	0.7232145195928462
20	0.951027142599958
21	0.951027142599958
22	0.6872372336578265
23	0.6992329727974596
24	0.7348694117007171
25	0.733212424999081
26	0.7434059201155601
27	0.6927213415235164
28	0.6676609659870684
29	0.702020578315456
30	
31	0.8437426639244205
32	0.8452589104080005
33	0.8629512246380341
34	0.8465985604430385
35	0.8463268720939936
36	
37	0.7801415285952685
38	0.8551643976589703
39	
40	0.8551643976589703
41	
42	
43	0.7801415285952685
44	0.8373390937797177
45	0.8373390937797177
46	
47	
48	0.6726719966082102
49	0.8085886339816957
50	0.8056504617110101
51	0.8720946359167727
52	0.8932737900033035
53	0.8927252061877282
54	0.6177593176165155
55	0.6431224011616498
56	0.6453361108720373
