	mean_corr
1	
2	
3	
4	
5	0.9514497319543379
6	0.9282798577661209
7	0.9449048091940563
8	0.9449798129082292
9	0.9426000643889402
10	0.9474800450035842
11	0.9497257584724673
12	0.9840172328612838
13	0.9849073419701823
14	0.9871227233673762
15	
16	
17	0.9425381885944345
18	0.9449987869091669
19	0.9521535618942047
20	0.9976680054083923
21	0.9976680054083922
22	0.9427081889404342
23	0.9462676833427537
24	0.9272693672736045
25	0.9206649137313896
26	0.924918214876809
27	0.9404202215943916
28	0.9398885934378013
29	0.9426039563298845
30	
31	0.9925246513049883
32	0.9901946803713428
33	0.992143491912924
34	0.9919686657537561
35	0.9912276520270693
36	
37	0.9884847899001076
38	0.9972247048426334
39	
40	0.9972247048426334
41	
42	
43	0.9884847899001076
44	0.992955983325614
45	0.992955983325614
46	
47	
48	0.8712191361238073
49	0.9339465354782406
50	0.9347526657698699
51	0.9901802400630534
52	0.9920936026438248
53	0.9928655245362801
54	0.8849424878806849
55	0.9089420840904398
56	0.9066878770490645
