	mean_POCP
1	
2	
3	
4	
5	64.65555555555555
6	64.66333333333334
7	67.97222222222223
8	67.60222222222222
9	66.13444444444445
10	68.37
11	67.45555555555555
12	66.91
13	71.255
14	72.485
15	
16	
17	69.976
18	66.99499999999999
19	63.489
20	83.27
21	83.27
22	70.93900000000001
23	69.395
24	69.615
25	71.08699999999999
26	71.97800000000001
27	59.989999999999995
28	65.303
29	66.13699999999999
30	
31	63.260000000000005
32	63.832499999999996
33	64.07249999999999
34	62.1725
35	57.4325
36	
37	64.56
38	72.19
39	
40	72.19
41	
42	
43	64.56
44	75.27
45	75.27
46	
47	
48	69.305
49	74.795
50	73.65
51	74.74000000000001
52	74.89500000000001
53	72.105
54	67.69111111111111
55	68.22666666666667
56	68.13777777777779
