	mean_corr
1	
2	
3	
4	
5	0.9291645428963832
6	0.8478118914535633
7	0.9370569960516101
8	0.9232359295137975
9	0.9097494833715652
10	0.9333144882863985
11	0.939518278179692
12	0.8554651229798681
13	0.9208412689224741
14	0.9257756985142138
15	
16	
17	0.9157338560830663
18	0.8965867878345655
19	0.9238826735782608
20	0.9973916258540532
21	0.9973916258540532
22	0.9027406382753764
23	0.8863296282580672
24	0.9180872496050512
25	0.9122949192787804
26	0.9133642990921933
27	0.7365200584512073
28	0.9041594838374689
29	0.832712861623315
30	
31	0.9218822803939757
32	0.9667608187447383
33	0.9686449904277277
34	0.9666354268904124
35	0.9621439026716622
36	
37	0.8902132154466103
38	0.9794383560303614
39	
40	0.9794383560303616
41	
42	
43	0.8902132154466101
44	0.9873616941013256
45	0.9873616941013252
46	
47	
48	0.923377075325756
49	0.9580903149680583
50	0.9611148612345324
51	0.9935186867279994
52	0.9906457739808437
53	0.9900239633943776
54	0.8920478332108797
55	0.888403998718683
56	0.9128422683865295
