	mean_corr
1	
2	
3	
4	
5	0.9726575413003151
6	0.9353140613384203
7	0.9726575413003151
8	0.9353140613384203
9	
10	0.9792160511618557
11	0.9792160511618556
12	
13	0.9911518444568197
14	0.9911518444568197
15	
16	
17	0.9729695779097394
18	0.9523185733947039
19	0.946106052295927
20	0.9973916258540532
21	0.9973916258540532
22	0.9884316292189806
23	0.9884316292189806
24	0.987239945090435
25	0.9916769444831558
26	0.9935564006702581
27	0.9583227378319265
28	
29	0.9583227378319265
30	
31	
32	0.9852727389834275
33	
34	
35	0.9852727389834275
36	
37	
38	
39	
40	
41	
42	
43	
44	
45	
46	
47	
48	
49	0.9958281008768347
50	0.9958281008768346
51	0.9935186867279994
52	0.9906457739808437
53	0.9900239633943776
54	0.9824417895931981
55	0.9824417895931981
56	
