t	h	mean_within	median_within	mean_between	median_between	fragmentations	fusions	fusion_ok	fragment_ok	valid_limits	delta_mean	delta_median
0.0	0.9956124839115337					14	0	True	False	False		
0.02	0.9881498191438285	93.14749999999998	93.02	70.11605392156864	69.83	13	0	True	False	False	1.328476073456646	1.3320922239725046
0.04	0.9825067320436649	91.99166666666666	92.675	70.07600441501104	69.83	12	0	True	False	False	1.3127413218633945	1.3271516540168982
0.06	0.9714934358039948	90.39500000000001	89.97	69.95611360239162	69.83	10	0	True	False	False	1.29216726523398	1.2884147214664186
0.08	0.9625752289224163	89.59153846153846	89.48	70.2397455470738	69.945	9	0	True	False	False	1.2755105782878347	1.2792908713989566
0.1	0.9498215490207355	85.01466666666667	83.4	70.39157024793388	70.13	9	2	True	False	False	1.207739312636828	1.1892200199629261
0.12	0.9360321848491335	81.7539344262295	80.4	70.14876835236542	70.07499999999999	7	2	True	False	False	1.1654364908528398	1.1473421334284697
0.14	0.9234535831126832	80.92443181818182	79.74	70.14581616481775	70.1	6	2	True	False	False	1.1536601360234822	1.1375178316690442
0.16	0.9190853311300637	80.37878504672899	79.57	70.187078125	70.12	6	3	True	False	False	1.1452077390025843	1.1347689674843124
0.18	0.9083567891004898	80.18650406504065	79.41	70.261643017177	70.18	4	3	True	True	True	1.1412557495337436	1.1315189512681674
0.2	0.8971497377638686	79.40932098765433	78.595	70.1417554388597	70.16	3	3	True	True	True	1.1321262276772195	1.1202251995438997
0.22	0.8971497377638686	79.40932098765433	78.595	70.1417554388597	70.16	3	3	True	True	True	1.1321262276772195	1.1202251995438997
0.24	0.8581400417895185	77.97825870646766	77.48	70.18561178247734	70.16499999999999	2	4	True	True	True	1.1110291230080271	1.104254257820851
0.26	0.8581400417895185	78.15164319248827	77.89	70.08618902439024	70.13499999999999	1	4	True	True	True	1.1150790802063901	1.1105724673843305
0.28	0.8581400417895185	73.565	70.33500000000001	70.32448961156277	70.37	1	3	True	True	True	1.0460794014480046	0.9995026289612051
0.3	0.8059033828400339	73.5645584725537	70.34	70.31382959641257	70.37	1	4	True	True	True	1.0462317142274808	0.9995736819667472
0.32	0.8059033828400339	71.87313253012047	68.41	70.7924239244491	70.64	1	3	False	True	False	1.0152658793944493	0.9684314835787089
0.34	0.8059033828400339	71.62823462414578	70.41499999999999	70.63091463414635	70.35	1	2	False	True	False	1.0141201624694418	1.0009239516702202
0.36	0.8059033828400339	71.53266112266112	70.34	70.64519230769231	70.405	0	1	False	True	False	1.012562338440576	0.9990767701157589
0.38	0.8059033828400339	71.58954285714286	70.41499999999999	70.36043388429754	70.3	0	1	False	True	False	1.0174687520384895	1.0016358463726884
0.4	0.7943843224370558	71.71631349782294	70.48	66.71842767295597	68.5	0	1	False	True	False	1.0749101260204434	1.0289051094890511
0.42	0.7943843224370558	71.71631349782294	70.48	66.71842767295597	68.5	0	1	False	True	False	1.0749101260204434	1.0289051094890511
0.44	0.7702393438246755	71.7288819007687	70.47	64.07157407407408	63.31999999999999	0	1	False	True	False	1.1195117794022338	1.1129185091598233
0.46	0.7702393438246755	71.7288819007687	70.47	64.07157407407408	63.31999999999999	0	1	False	True	False	1.1195117794022338	1.1129185091598233
0.48	0.7702393438246755	71.7288819007687	70.47	64.07157407407408	63.31999999999999	0	1	False	True	False	1.1195117794022338	1.1129185091598233
0.5	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.52	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.54	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.56	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.58	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.6	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.62	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.64	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.66	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.68	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.7	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.72	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.74	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.76	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.78	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.8	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.82	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.84	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.86	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.88	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.9	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.92	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.94	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.96	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
0.98	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
1.0	0.37679490295598506	71.66559595959596	70.45	58.147818181818195	58.12	0	1	False	True	False	1.232472656764352	1.2121472814865797
