t	h	mean_within	median_within	mean_between	median_between	fragmentations	fusions	fusion_ok	fragment_ok	valid_limits	delta_mean	delta_median
0.0	0.9956124839115337					14	0	True	False	False		
0.02	0.9881498191438285	93,147500	93,020000	70,116054	69,830000	13	0	True	False	False	1,328476	1,332092
0.04	0.9825067320436649	91,991667	92,675000	70,076004	69,830000	12	0	True	False	False	1,312741	1,327152
0.06	0.9714934358039948	90,395000	89,970000	69,956114	69,830000	10	0	True	False	False	1,292167	1,288415
0.08	0.9625752289224163	89,591538	89,480000	70,239746	69,945000	9	0	True	False	False	1,275511	1,279291
0.1	0.9498215490207355	85,014667	83,400000	70,391570	70,130000	9	2	True	False	False	1,207739	1,189220
0.12	0.9360321848491335	81,753934	80,400000	70,148768	70,075000	7	2	True	False	False	1,165436	1,147342
0.14	0.9234535831126832	80,924432	79,740000	70,145816	70,100000	6	2	True	False	False	1,153660	1,137518
0.16	0.9190853311300637	80,378785	79,570000	70,187078	70,120000	6	3	True	False	False	1,145208	1,134769
0.18	0.9083567891004898	80,186504	79,410000	70,261643	70,180000	4	3	True	True	True	1,141256	1,131519
0.2	0.8971497377638686	79,409321	78,595000	70,141755	70,160000	3	3	True	True	True	1,132126	1,120225
0.22	0.8971497377638686	79,409321	78,595000	70,141755	70,160000	3	3	True	True	True	1,132126	1,120225
0.24	0.8581400417895185	77,978259	77,480000	70,185612	70,165000	2	4	True	True	True	1,111029	1,104254
0.26	0.8581400417895185	78,151643	77,890000	70,086189	70,135000	1	4	True	True	True	1,115079	1,110572
0.28	0.8581400417895185	73,565000	70,335000	70,324490	70,370000	1	3	True	True	True	1,046079	0,999503
0.3	0.8059033828400339	73,564558	70,340000	70,313830	70,370000	1	4	True	True	True	1,046232	0,999574
0.32	0.8059033828400339	71,873133	68,410000	70,792424	70,640000	1	3	False	True	False	1,015266	0,968431
0.34	0.8059033828400339	71,628235	70,415000	70,630915	70,350000	1	2	False	True	False	1,014120	1,000924
0.36	0.8059033828400339	71,532661	70,340000	70,645192	70,405000	0	1	False	True	False	1,012562	0,999077
0.38	0.8059033828400339	71,589543	70,415000	70,360434	70,300000	0	1	False	True	False	1,017469	1,001636
0.4	0.7943843224370558	71,716313	70,480000	66,718428	68,500000	0	1	False	True	False	1,074910	1,028905
0.42	0.7943843224370558	71,716313	70,480000	66,718428	68,500000	0	1	False	True	False	1,074910	1,028905
0.44	0.7702393438246755	71,728882	70,470000	64,071574	63,320000	0	1	False	True	False	1,119512	1,112919
0.46	0.7702393438246755	71,728882	70,470000	64,071574	63,320000	0	1	False	True	False	1,119512	1,112919
0.48	0.7702393438246755	71,728882	70,470000	64,071574	63,320000	0	1	False	True	False	1,119512	1,112919
0.5	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.52	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.54	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.56	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.58	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.6	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.62	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.64	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.66	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.68	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.7	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.72	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.74	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.76	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.78	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.8	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.82	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.84	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.86	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.88	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.9	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.92	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.94	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.96	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
0.98	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
1.0	0.37679490295598506	71,665596	70,450000	58,147818	58,120000	0	1	False	True	False	1,232473	1,212147
