t	h	mean_within	median_within	mean_between	median_between	fragmentations	fusions	fusion_ok	fragment_ok	valid_limits	delta_mean	delta_median
0.0	0.9956124839115337					14	0	True	False	False		
0.02	0.9881498191438285	81.93	84.25	60.34088235294118	60.754999999999995	13	0	True	False	False	1.3577859123899025	1.3867171426220066
0.04	0.9825067320436649	81.66666666666667	82.435	60.52863134657837	60.96	12	0	True	False	False	1.3492237450249767	1.3522801837270342
0.06	0.9714934358039948	81.339	82.055	61.05008968609866	61.05	10	0	True	False	False	1.3323321950585307	1.3440622440622443
0.08	0.9625752289224163	77.93923076923076	81.48	60.76958015267176	60.965	9	0	True	False	False	1.2825369300466383	1.3365045517920118
0.1	0.9498215490207355	76.809	79.94	61.56914049586777	61.945	9	2	True	False	False	1.2475243178870599	1.290499636774558
0.12	0.9360321848491335	72.38786885245901	70.42	61.52349102773247	61.89	7	2	True	False	False	1.1765890986229843	1.1378251736952658
0.14	0.9234535831126832	72.8675	72.935	61.4062678288431	61.92	6	2	True	False	False	1.1866459658988338	1.177890826873385
0.16	0.9190853311300637	71.97504672897196	70.42	61.42271874999999	61.92	6	3	True	False	False	1.1717984516758626	1.1372739018087856
0.18	0.9083567891004898	72.11056910569104	70.95	61.37571321882002	61.88	4	3	True	True	True	1.1749039697281976	1.146574014221073
0.2	0.8971497377638686	70.95481481481481	70.25	61.282295573893464	61.81	3	3	True	True	True	1.1578354588440365	1.1365474842258534
0.22	0.8971497377638686	70.95481481481481	70.25	61.282295573893464	61.81	3	3	True	True	True	1.1578354588440365	1.1365474842258534
0.24	0.8581400417895185	70.06243781094528	69.42	61.09907099697885	61.629999999999995	2	4	True	True	True	1.1467021784080749	1.1263994807723512
0.26	0.8581400417895185	70.06849765258217	69.31	61.016105182926836	61.57	1	4	True	True	True	1.1483607064481776	1.1257105733311679
0.28	0.8581400417895185	65.90172248803827	65.07	60.913098464317976	61.6	1	3	True	True	True	1.0818973939840306	1.0563311688311687
0.3	0.8059033828400339	65.87758949880669	65.04	60.909721973094165	61.6	1	4	True	True	True	1.0815611591185228	1.055844155844156
0.32	0.8059033828400339	64.23168674698795	63.84	61.06866736621196	61.87	1	3	False	True	False	1.0517944719803403	1.0318409568449978
0.34	0.8059033828400339	64.17469248291572	63.905	59.71291158536585	60.510000000000005	1	2	False	True	False	1.0747205383072183	1.0561064286894728
0.36	0.8059033828400339	63.89846153846154	63.73	59.522255244755236	60.375	0	1	False	True	False	1.0735221855373485	1.0555693581780539
0.38	0.8059033828400339	63.223838095238094	63.065	60.19012396694214	61.62	0	1	False	True	False	1.050402191063141	1.0234501785134698
0.4	0.7943843224370558	62.60041364296081	62.925	59.14811320754716	60.37	0	1	False	True	False	1.0583670424667602	1.0423223455358621
0.42	0.7943843224370558	62.60041364296081	62.925	59.14811320754716	60.37	0	1	False	True	False	1.0583670424667602	1.0423223455358621
0.44	0.7702393438246755	62.438169112508724	62.68	59.678518518518516	60.74	0	1	False	True	False	1.0462419420336964	1.0319394138952913
0.46	0.7702393438246755	62.438169112508724	62.68	59.678518518518516	60.74	0	1	False	True	False	1.0462419420336964	1.0319394138952913
0.48	0.7702393438246755	62.438169112508724	62.68	59.678518518518516	60.74	0	1	False	True	False	1.0462419420336964	1.0319394138952913
0.5	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.52	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.54	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.56	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.58	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.6	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.62	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.64	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.66	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.68	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.7	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.72	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.74	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.76	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.78	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.8	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.82	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.84	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.86	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.88	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.9	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
0.92	0.37679490295598506	62.28184511784512	62.55	61.226727272727274	63.61	0	1	False	True	False	1.0172329616838403	0.9833359534664361
