t	h	mean_within	median_within	mean_between	median_between	fragmentations	fusions	fusion_ok	fragment_ok	valid_limits	delta_mean	delta_median
0.0	0.9956124839115337					14	0	True	False	False		
0.02	0.9881498191438285	0.9296840999322735	0.9277357296793773	0.5462140901613287	0.5376389139689757	13	0	True	False	False	1.7020507465446082	1.7255739969240993
0.04	0.9825067320436649	0.9164143043486602	0.9130710790223202	0.546253117044118	0.539583407076399	12	0	True	False	False	1.6776367507201724	1.692177830244212
0.06	0.9714934358039948	0.8879513208755663	0.889874713181434	0.5437644519115363	0.5387007464560764	10	0	True	False	False	1.6329705219862825	1.6518906257984758
0.08	0.9625752289224163	0.8762534319978695	0.8862982980502413	0.5500050184989039	0.5406243081057136	9	0	True	False	False	1.5931735211969085	1.6393977939240842
0.1	0.9498215490207355	0.7944731825840997	0.782321242101415	0.550485894061749	0.5424763375065574	9	2	True	False	False	1.4432216904271524	1.442129707808607
0.12	0.9360321848491335	0.7336381945369084	0.7170988932439102	0.5465730601894351	0.5407165072202232	7	2	True	False	False	1.342250923019585	1.326201223133456
0.14	0.9234535831126832	0.7192309283984243	0.6978453771590778	0.5478753004244017	0.5414401165389298	6	2	True	False	False	1.3127639224496614	1.2888689918655158
0.16	0.9190853311300637	0.7100417019688243	0.6937152244893684	0.5500204397926345	0.5424088311404442	6	3	True	False	False	1.290936937246405	1.2789526730801823
0.18	0.9083567891004898	0.7096174250896091	0.6920842449236313	0.5520093758223125	0.5439624465733685	4	3	True	True	True	1.2855169788239782	1.2723015150831456
0.2	0.8971497377638686	0.6980718956244447	0.6784107354783999	0.5500786424673311	0.5430786848241766	3	3	True	True	True	1.269040173043808	1.2491941857339466
0.22	0.8971497377638686	0.6980718956244447	0.6784107354783999	0.5500786424673311	0.5430786848241766	3	3	True	True	True	1.269040173043808	1.2491941857339466
0.24	0.8581400417895185	0.6736814963310875	0.6687032246273769	0.551115323661596	0.5442692264222307	2	4	True	True	True	1.2223965972406012	1.2286258200249838
0.26	0.8581400417895185	0.6800770235765202	0.6735142864166649	0.5489559933450479	0.5439076282542794	1	4	True	True	True	1.2388552667628057	1.2382879949273184
0.28	0.8581400417895185	0.6079927317546745	0.5466028123185336	0.5518931412981462	0.5526222061838978	1	3	True	True	True	1.101649370609268	0.9891075787436578
0.3	0.8059033828400339	0.6079419257823551	0.5469188261437481	0.5515183106200533	0.5526222061838978	1	4	True	True	True	1.1023059689511787	0.9896794229831369
0.32	0.8059033828400339	0.5796817586455122	0.5300202123207969	0.5591558042719031	0.5625177439190848	1	3	False	True	False	1.0367088282314025	0.9422284328812879
0.34	0.8059033828400339	0.5786323317608477	0.5574581253545676	0.5512673718874116	0.5498554078184517	1	2	False	True	False	1.0496400862248474	1.013826757776703
0.36	0.8059033828400339	0.5759495187228715	0.5534306370955094	0.5517607451621748	0.5510316013007899	0	1	False	True	False	1.0438392433183827	1.0043537172624153
0.38	0.8059033828400339	0.5779385099059148	0.5583642053772142	0.5430478261218096	0.5459109769381503	0	1	False	True	False	1.0642497439558463	1.0228118300696394
0.4	0.7943843224370558	0.5799398077787012	0.5567020505789229	0.453053493962611	0.5071749276248698	0	1	False	True	False	1.280069165136075	1.097652940349381
0.42	0.7943843224370558	0.5799398077787012	0.5567020505789229	0.453053493962611	0.5071749276248698	0	1	False	True	False	1.280069165136075	1.097652940349381
0.44	0.7702393438246755	0.5794524364800823	0.5551615450700961	0.39648143186811785	0.35694171306562733	0	1	False	True	False	1.4614869446719168	1.5553282924039311
0.46	0.7702393438246755	0.5794524364800823	0.5551615450700961	0.39648143186811785	0.35694171306562733	0	1	False	True	False	1.4614869446719168	1.5553282924039311
0.48	0.7702393438246755	0.5794524364800823	0.5551615450700961	0.39648143186811785	0.35694171306562733	0	1	False	True	False	1.4614869446719168	1.5553282924039311
0.5	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.52	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.54	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.56	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.58	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.6	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.62	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.64	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.66	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.68	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.7	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.72	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.74	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.76	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.78	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.8	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.82	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
0.84	0.37679490295598506	0.577674816050758	0.554335893404312	0.2623843864297546	0.26181184425787324	0	1	False	True	False	2.2016356381228985	2.1173063998522363
