t	h	mean_within	median_within	mean_between	median_between	fragmentations	fusions	fusion_ok	fragment_ok	valid_limits	delta_mean	delta_median
0.0	0.9956124839115337					14	0	True	False	False		
0.02	0.9881498191438285	0,929684	0,927736	0,546214	0,537639	13	0	True	False	False	1,702051	1,725574
0.04	0.9825067320436649	0,916414	0,913071	0,546253	0,539583	12	0	True	False	False	1,677637	1,692178
0.06	0.9714934358039948	0,887951	0,889875	0,543764	0,538701	10	0	True	False	False	1,632971	1,651891
0.08	0.9625752289224163	0,876253	0,886298	0,550005	0,540624	9	0	True	False	False	1,593174	1,639398
0.1	0.9498215490207355	0,794473	0,782321	0,550486	0,542476	9	2	True	False	False	1,443222	1,442130
0.12	0.9360321848491335	0,733638	0,717099	0,546573	0,540717	7	2	True	False	False	1,342251	1,326201
0.14	0.9234535831126832	0,719231	0,697845	0,547875	0,541440	6	2	True	False	False	1,312764	1,288869
0.16	0.9190853311300637	0,710042	0,693715	0,550020	0,542409	6	3	True	False	False	1,290937	1,278953
0.18	0.9083567891004898	0,709617	0,692084	0,552009	0,543962	4	3	True	True	True	1,285517	1,272302
0.2	0.8971497377638686	0,698072	0,678411	0,550079	0,543079	3	3	True	True	True	1,269040	1,249194
0.22	0.8971497377638686	0,698072	0,678411	0,550079	0,543079	3	3	True	True	True	1,269040	1,249194
0.24	0.8581400417895185	0,673681	0,668703	0,551115	0,544269	2	4	True	True	True	1,222397	1,228626
0.26	0.8581400417895185	0,680077	0,673514	0,548956	0,543908	1	4	True	True	True	1,238855	1,238288
0.28	0.8581400417895185	0,607993	0,546603	0,551893	0,552622	1	3	True	True	True	1,101649	0,989108
0.3	0.8059033828400339	0,607942	0,546919	0,551518	0,552622	1	4	True	True	True	1,102306	0,989679
0.32	0.8059033828400339	0,579682	0,530020	0,559156	0,562518	1	3	False	True	False	1,036709	0,942228
0.34	0.8059033828400339	0,578632	0,557458	0,551267	0,549855	1	2	False	True	False	1,049640	1,013827
0.36	0.8059033828400339	0,575950	0,553431	0,551761	0,551032	0	1	False	True	False	1,043839	1,004354
0.38	0.8059033828400339	0,577939	0,558364	0,543048	0,545911	0	1	False	True	False	1,064250	1,022812
0.4	0.7943843224370558	0,579940	0,556702	0,453053	0,507175	0	1	False	True	False	1,280069	1,097653
0.42	0.7943843224370558	0,579940	0,556702	0,453053	0,507175	0	1	False	True	False	1,280069	1,097653
0.44	0.7702393438246755	0,579452	0,555162	0,396481	0,356942	0	1	False	True	False	1,461487	1,555328
0.46	0.7702393438246755	0,579452	0,555162	0,396481	0,356942	0	1	False	True	False	1,461487	1,555328
0.48	0.7702393438246755	0,579452	0,555162	0,396481	0,356942	0	1	False	True	False	1,461487	1,555328
0.5	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.52	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.54	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.56	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.58	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.6	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.62	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.64	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.66	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.68	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.7	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.72	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.74	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.76	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.78	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.8	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.82	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.84	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.86	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.88	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.9	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.92	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.94	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.96	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
0.98	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
1.0	0.37679490295598506	0,577675	0,554336	0,262384	0,261812	0	1	False	True	False	2,201636	2,117306
