t	h	mean_within	median_within	mean_between	median_between	fragmentations	fusions	fusion_ok	fragment_ok	valid_limits	delta_mean	delta_median
0.0	0.9956124839115337					14	0	True	False	False		
0.02	0.9881498191438285	79.80499999999999	81.205	57.324558823529415	57.355000000000004	13	0	True	False	False	1.3921607359539463	1.4158312265713537
0.04	0.9825067320436649	79.50666666666666	79.58	57.22441501103753	57.35	12	0	True	False	False	1.3893836512148057	1.3876198779424584
0.06	0.9714934358039948	78.672	78.55	57.005874439461884	57.24	10	0	True	False	False	1.3800682960059973	1.3722921034241788
0.08	0.9625752289224163	75.29615384615384	77.8	56.14698473282443	56.545	9	0	True	False	False	1.3410542739641458	1.3758953046246352
0.1	0.9498215490207355	73.12933333333335	72.85499999999999	56.760537190082644	57.129999999999995	9	2	True	False	False	1.2883833901788848	1.2752494311220024
0.12	0.9360321848491335	70.0627868852459	68.56	56.54256933115824	57.03	7	2	True	False	False	1.239115726682007	1.2021742942311064
0.14	0.9234535831126832	68.23022727272728	67.305	56.5761648177496	57.06	6	2	True	False	False	1.2059889088014226	1.1795478443743428
0.16	0.9190853311300637	67.67411214953272	66.68	56.580859375	57.129999999999995	6	3	True	False	False	1.196060167644506	1.1671626115876075
0.18	0.9083567891004898	67.56569105691058	66.78	56.673890963405526	57.28	4	3	True	True	True	1.1921837359029737	1.1658519553072626
0.2	0.8971497377638686	66.72518518518518	66.1	56.49009002250563	57.18	3	3	True	True	True	1.181183906037358	1.1559986009094088
0.22	0.8971497377638686	66.72518518518518	66.1	56.49009002250563	57.18	3	3	True	True	True	1.181183906037358	1.1559986009094088
0.24	0.8581400417895185	66.0473631840796	65.51	56.34827039274924	57.135000000000005	2	4	True	True	True	1.172127604338649	1.1465826551150784
0.26	0.8581400417895185	66.14793427230046	65.64	56.24323170731707	57.065	1	4	True	True	True	1.176104791000031	1.150267239113292
0.28	0.8581400417895185	62.1055980861244	61.365	55.93540198735321	56.81	1	3	True	True	True	1.1103093189562891	1.080179545854603
0.3	0.8059033828400339	62.1	61.35	55.92124663677129	56.81	1	4	True	True	True	1.11049026505725	1.079915507833128
0.32	0.8059033828400339	60.49421686746988	59.28	55.84989506820566	56.96	1	3	False	True	False	1.0831572162059109	1.0407303370786516
0.34	0.8059033828400339	59.901697038724365	59.075	54.54024390243902	55.760000000000005	1	2	False	True	False	1.0983026982034743	1.059451219512195
0.36	0.8059033828400339	59.76862785862786	59.055	53.976695804195806	55.16	0	1	False	True	False	1.1073043091678432	1.0706127628716462
0.38	0.8059033828400339	59.655142857142856	59.05	53.16981404958678	54.379999999999995	0	1	False	True	False	1.1219738854363452	1.0858771607208533
0.4	0.7943843224370558	58.36711175616836	58.205	50.94899371069182	54.08	0	1	False	True	False	1.1455989118764445	1.0762758875739644
0.42	0.7943843224370558	58.36711175616836	58.205	50.94899371069182	54.08	0	1	False	True	False	1.1455989118764445	1.0762758875739644
0.44	0.7702393438246755	58.35549965059399	58.23	47.44842592592593	47.425	0	1	False	True	False	1.2298721930564278	1.2278334211913549
0.46	0.7702393438246755	58.35549965059399	58.23	47.44842592592593	47.425	0	1	False	True	False	1.2298721930564278	1.2278334211913549
0.48	0.7702393438246755	58.35549965059399	58.23	47.44842592592593	47.425	0	1	False	True	False	1.2298721930564278	1.2278334211913549
0.5	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.52	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.54	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.56	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.58	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.6	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.62	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.64	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.66	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.68	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.7	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.72	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.74	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.76	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.78	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.8	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.82	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.84	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.86	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.88	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.9	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.92	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.94	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.96	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
0.98	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
1.0	0.37679490295598506	58.226127946127946	58.11	40.04472727272727	41.1	0	1	False	True	False	1.4540273317277213	1.4138686131386862
