t	h	mean_within	median_within	mean_between	median_between	fragmentations	fusions	fusion_ok	fragment_ok	valid_limits	delta_mean	delta_median
0.0	0.9956124839115337					14	0	True	False	False		
0.02	0.9881498191438285	79,805000	81,205000	57,324559	57,355000	13	0	True	False	False	1,392161	1,415831
0.04	0.9825067320436649	79,506667	79,580000	57,224415	57,350000	12	0	True	False	False	1,389384	1,387620
0.06	0.9714934358039948	78,672000	78,550000	57,005874	57,240000	10	0	True	False	False	1,380068	1,372292
0.08	0.9625752289224163	75,296154	77,800000	56,146985	56,545000	9	0	True	False	False	1,341054	1,375895
0.1	0.9498215490207355	73,129333	72,855000	56,760537	57,130000	9	2	True	False	False	1,288383	1,275249
0.12	0.9360321848491335	70,062787	68,560000	56,542569	57,030000	7	2	True	False	False	1,239116	1,202174
0.14	0.9234535831126832	68,230227	67,305000	56,576165	57,060000	6	2	True	False	False	1,205989	1,179548
0.16	0.9190853311300637	67,674112	66,680000	56,580859	57,130000	6	3	True	False	False	1,196060	1,167163
0.18	0.9083567891004898	67,565691	66,780000	56,673891	57,280000	4	3	True	True	True	1,192184	1,165852
0.2	0.8971497377638686	66,725185	66,100000	56,490090	57,180000	3	3	True	True	True	1,181184	1,155999
0.22	0.8971497377638686	66,725185	66,100000	56,490090	57,180000	3	3	True	True	True	1,181184	1,155999
0.24	0.8581400417895185	66,047363	65,510000	56,348270	57,135000	2	4	True	True	True	1,172128	1,146583
0.26	0.8581400417895185	66,147934	65,640000	56,243232	57,065000	1	4	True	True	True	1,176105	1,150267
0.28	0.8581400417895185	62,105598	61,365000	55,935402	56,810000	1	3	True	True	True	1,110309	1,080180
0.3	0.8059033828400339	62,100000	61,350000	55,921247	56,810000	1	4	True	True	True	1,110490	1,079916
0.32	0.8059033828400339	60,494217	59,280000	55,849895	56,960000	1	3	False	True	False	1,083157	1,040730
0.34	0.8059033828400339	59,901697	59,075000	54,540244	55,760000	1	2	False	True	False	1,098303	1,059451
0.36	0.8059033828400339	59,768628	59,055000	53,976696	55,160000	0	1	False	True	False	1,107304	1,070613
0.38	0.8059033828400339	59,655143	59,050000	53,169814	54,380000	0	1	False	True	False	1,121974	1,085877
0.4	0.7943843224370558	58,367112	58,205000	50,948994	54,080000	0	1	False	True	False	1,145599	1,076276
0.42	0.7943843224370558	58,367112	58,205000	50,948994	54,080000	0	1	False	True	False	1,145599	1,076276
0.44	0.7702393438246755	58,355500	58,230000	47,448426	47,425000	0	1	False	True	False	1,229872	1,227833
0.46	0.7702393438246755	58,355500	58,230000	47,448426	47,425000	0	1	False	True	False	1,229872	1,227833
0.48	0.7702393438246755	58,355500	58,230000	47,448426	47,425000	0	1	False	True	False	1,229872	1,227833
0.5	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.52	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.54	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.56	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.58	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.6	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.62	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.64	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.66	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.68	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.7	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.72	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.74	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.76	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.78	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.8	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.82	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.84	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.86	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.88	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.9	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.92	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.94	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.96	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
0.98	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
1.0	0.37679490295598506	58,226128	58,110000	40,044727	41,100000	0	1	False	True	False	1,454027	1,413869
