t	h	mean_within	median_within	mean_between	median_between	fragmentations	fusions	fusion_ok	fragment_ok	valid_limits	delta_mean	delta_median
0.0	0.9956124839115337							True	True	True		
0.02	0.9881498191438285	81,930000	84,250000	60,340882	60,755000			True	True	True	1,357786	1,386717
0.04	0.9825067320436649	81,666667	82,435000	60,528631	60,960000			True	True	True	1,349224	1,352280
0.06	0.9714934358039948	81,339000	82,055000	61,050090	61,050000			True	True	True	1,332332	1,344062
0.08	0.9625752289224163	77,939231	81,480000	60,769580	60,965000			True	True	True	1,282537	1,336505
0.1	0.9498215490207355	76,809000	79,940000	61,569140	61,945000			True	True	True	1,247524	1,290500
0.12	0.9360321848491335	72,387869	70,420000	61,523491	61,890000			True	True	True	1,176589	1,137825
0.14	0.9234535831126832	72,867500	72,935000	61,406268	61,920000			True	True	True	1,186646	1,177891
0.16	0.9190853311300637	71,975047	70,420000	61,422719	61,920000			True	True	True	1,171798	1,137274
0.18	0.9083567891004898	72,110569	70,950000	61,375713	61,880000			True	True	True	1,174904	1,146574
0.2	0.8971497377638686	70,954815	70,250000	61,282296	61,810000			True	True	True	1,157835	1,136547
0.22	0.8971497377638686	70,954815	70,250000	61,282296	61,810000			True	True	True	1,157835	1,136547
0.24	0.8581400417895185	70,062438	69,420000	61,099071	61,630000			True	True	True	1,146702	1,126399
0.26	0.8581400417895185	70,068498	69,310000	61,016105	61,570000			True	True	True	1,148361	1,125711
0.28	0.8581400417895185	65,901722	65,070000	60,913098	61,600000			True	True	True	1,081897	1,056331
0.3	0.8059033828400339	65,877589	65,040000	60,909722	61,600000			True	True	True	1,081561	1,055844
0.32	0.8059033828400339	64,231687	63,840000	61,068667	61,870000			True	True	True	1,051794	1,031841
0.34	0.8059033828400339	64,174692	63,905000	59,712912	60,510000			True	True	True	1,074721	1,056106
0.36	0.8059033828400339	63,898462	63,730000	59,522255	60,375000			True	True	True	1,073522	1,055569
0.38	0.8059033828400339	63,223838	63,065000	60,190124	61,620000			True	True	True	1,050402	1,023450
0.4	0.7943843224370558	62,600414	62,925000	59,148113	60,370000			True	True	True	1,058367	1,042322
0.42	0.7943843224370558	62,600414	62,925000	59,148113	60,370000			True	True	True	1,058367	1,042322
0.44	0.7702393438246755	62,438169	62,680000	59,678519	60,740000			True	True	True	1,046242	1,031939
0.46	0.7702393438246755	62,438169	62,680000	59,678519	60,740000			True	True	True	1,046242	1,031939
0.48	0.7702393438246755	62,438169	62,680000	59,678519	60,740000			True	True	True	1,046242	1,031939
0.5	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.52	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.54	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.56	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.58	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.6	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.62	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.64	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.66	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.68	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.7	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.72	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.74	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.76	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.78	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.8	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.82	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.84	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.86	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.88	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.9	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.92	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.94	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.96	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
0.98	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
1.0	0.37679490295598506	62,281845	62,550000	61,226727	63,610000			True	True	True	1,017233	0,983336
