BACTERIA,DOMAIN,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES
Aldersonia kunmingensis,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Aldersonia,Aldersonia kunmingensis
Antrihabitans stalactiti,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Antrihabitans,Antrihabitans stalactiti
Antrihabitans sp.,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Antrihabitans,Antrihabitans sp.
Corynebacterium diphtheriae,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
Gordonia amarae,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia amarae
Gordonia araii,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia araii
Gordonia bronchialis,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia bronchialis
Gordonia effusa,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia effusa
Gordonia malaquae,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia malaquae
Gordonia soli,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia soli
Gordonia sputi,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia sputi
Hoyosella altamirensis,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Hoyosellaceae,Hoyosella,Hoyosella altamirensis
Hoyosella lacisalsi,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Hoyosellaceae,Lolliginicoccus,Lolliginicoccus lacisalsi
Hoyosella rhizosphaerae,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Hoyosellaceae,Hoyosella,Hoyosella rhizosphaerae
Jongsikchunia kroppenstedtii,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Jongsikchunia,Jongsikchunia kroppenstedtii
Millisia brevis,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Millisia,Millisia brevis
Mycobacterium avium,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium
