genomes	Aldersonia_kunmingensis_DSM45001.gbff.gz	Antrihabitans_stalactiti_YC2-7.gbff.gz	Antrihabitans_stalagmiti_YC3-6.gbff.gz	Corynebacterium_diphtheriae_NCTC11397.gbff.gz	Gordonia_amarae_NBRC15530.gbff.gz	Gordonia_araii_NBRC100433.gbff.gz	Gordonia_bronchialis_DSM43247.gbff.gz	Gordonia_effusa_NBRC100432.gbff.gz	Gordonia_malaquae_NBRC108250.gbff.gz	Gordonia_soli_NBRC108243.gbff.gz	Gordonia_sputi_ATCC29627.gbff.gz	Hoyosella_altamirensis_DSM45258.gbff.gz	Hoyosella_lacisalsi_G463.gbff.gz	Hoyosella_rhizosphaerae_CGMCC1_15478.gbff.gz	Jongsikchunia_kroppenstedtii_DSM45133.gbff.gz	Millisia_brevis_NBRC105863.gbff.gz	Mycobacterium_avium_DSM44156.gbff.gz	Mycobacterium_simiae_JCM12377.gbff.gz	Mycobacterium_tuberculosis_H37Rv.gbff.gz	Mycobacteroides_abscessus_ATCC19977.gbff.gz	Mycobacteroides_chelonae_CCUG47445.gbff.gz	Mycolicibacillus_parakoreensis_DSM45575.gbff.gz	Mycolicibacillus_trivialis_DSM44153.gbff.gz	Mycolicibacter_arupensis_DSM44942.gbff.gz	Mycolicibacter_sinensis_JDM601.gbff.gz	Mycolicibacter_terrae_JCM12143.gbff.gz	Mycolicibacterium_chlorophenolicum_JCM7439_NBRC15527.gbff.gz	Mycolicibacterium_fallax_JCM6405.gbff.gz	Mycolicibacterium_setense_DSM45070.gbff.gz	Nocardia_asteroides_NCTC11293.gbff.gz	Nocardia_cyriacigeorgica_DSM44484.gbff.gz	Nocardia_mexicana_DSM44952.gbff.gz	Nocardia_pneumoniae_NBRC100136.gbff.gz	Nocardia_tenerifensis_DSM44704.gbff.gz	Nocardia_terpenica_IFM0706.gbff.gz	Rhodococcus_equi_DMS20307.gbff.gz	Rhodococcus_erythropolis_NBRC15567T.gbff.gz	Rhodococcus_fascians_NBRC12155T.gbff.gz	Rhodococcus_kroppenstedtii_DSM44908.gbff.gz	Rhodococcus_kyotonensis_JCM23211.gbff.gz	Rhodococcus_maanshanensis_NBRC100610.gbff.gz	Rhodococcus_opacus_DSM43205T.gbff.gz	Rhodococcus_rhodnii_ATCC35071.gbff.gz	Rhodococcus_rhodochrous_NBRC16069T.gbff.gz	Rhodococcus_ruber_DSM43338T.gbff.gz	Skermania_piniformis_DSM43998.gbff.gz	Smaragdicoccus_niigatensis_DSM_44881.gbff.gz	Tomitella_biformata_AHU_1821.gbff.gz	Tomitella_fengzijianii_HY188.gbff.gz	Tomitella_gaofuii_HY172.gbff.gz	Tsukamurella_paurometabola_DSM20162.gbff.gz	Tsukamurella_pulmonis_NCTC13230.gbff.gz	Tsukamurella_spumae_DSM44113.gbff.gz	Williamsia_deligens_DSM44902.gbff.gz	Williamsia_maris_DSM44693.gbff.gz	Williamsia_muralis_DSM44343.gbff.gz
Aldersonia_kunmingensis_DSM45001.gbff.gz	100.00	68.26	66.30	31.98	62.38	54.35	62.44	59.66	57.73	63.28	58.23	54.14	46.44	50.11	57.55	59.79	59.10	61.14	53.26	59.09	58.67	55.83	52.66	54.95	57.57	57.62	65.84	56.11	66.40	66.95	64.86	69.54	66.03	68.36	63.65	64.80	66.64	62.59	56.40	66.93	66.74	69.94	57.13	65.99	64.48	59.81	59.08	59.24	54.84	53.52	57.22	56.77	53.29	58.37	60.75	64.51
Antrihabitans_stalactiti_YC2-7.gbff.gz	62.11	100.00	71.14	27.50	55.98	51.79	59.15	56.94	55.32	59.06	56.27	52.29	44.54	47.71	54.92	57.85	52.86	55.53	49.52	56.87	56.98	50.01	49.11	51.78	50.92	52.09	61.33	50.37	60.37	64.81	62.41	66.62	63.92	67.73	63.33	58.31	63.64	60.46	53.16	62.68	62.11	66.39	52.97	59.03	58.75	55.84	61.62	53.95	49.35	48.96	56.29	55.80	52.74	56.19	58.62	60.58
Antrihabitans_stalagmiti_YC3-6.gbff.gz	62.18	73.74	100.00	29.50	57.16	52.30	59.89	57.73	55.77	60.25	57.15	54.45	46.07	49.60	54.96	59.25	51.77	54.63	49.50	57.97	58.02	49.37	48.64	51.46	49.70	50.91	61.61	49.87	60.37	66.44	64.15	68.01	65.24	69.09	64.86	59.68	65.62	63.25	54.30	64.73	63.24	67.96	55.18	59.56	59.73	55.68	60.40	55.25	49.74	49.81	57.68	57.95	54.92	56.78	59.69	61.70
Corynebacterium_diphtheriae_NCTC11397.gbff.gz	63.21	61.32	61.80	100.00	63.81	60.77	65.60	63.49	65.31	64.53	61.87	57.63	57.41	63.24	60.98	64.93	59.04	60.38	58.41	61.93	62.30	58.18	57.95	59.41	57.64	58.44	65.45	61.49	64.52	65.23	64.71	66.25	63.82	66.56	63.94	66.60	68.31	66.68	63.61	67.61	66.07	66.38	64.36	66.94	65.03	61.70	61.71	64.28	60.32	59.07	65.35	64.96	61.35	63.23	64.35	65.36
Gordonia_amarae_NBRC15530.gbff.gz	62.78	62.54	61.77	33.63	100.00	59.37	67.83	63.68	63.84	67.02	63.58	52.82	46.80	50.69	59.04	62.58	56.08	57.95	51.76	58.57	58.35	54.11	51.53	54.34	55.12	55.25	63.37	56.25	64.05	62.86	60.23	65.15	61.84	65.23	60.62	60.65	65.87	61.85	56.33	65.79	61.99	65.78	57.81	64.02	61.75	58.28	56.48	58.32	54.50	53.35	59.52	59.00	57.46	60.45	63.32	66.81
Gordonia_araii_NBRC100433.gbff.gz	68.90	71.02	69.63	39.71	73.49	100.00	75.40	76.72	75.32	75.19	69.64	60.36	54.52	60.46	72.34	67.68	64.56	65.54	61.81	69.34	69.72	63.25	62.93	64.25	63.97	64.47	69.40	64.66	72.33	71.96	71.33	73.45	70.89	73.35	68.00	69.43	72.99	67.67	62.47	71.06	72.07	71.83	65.57	70.48	68.58	66.28	65.64	67.77	63.48	61.60	68.97	69.31	64.82	68.53	70.01	73.08
Gordonia_bronchialis_DSM43247.gbff.gz	64.54	67.43	65.92	36.41	68.90	62.43	100.00	70.23	68.77	74.16	70.68	56.57	48.93	53.90	64.60	67.42	57.17	59.52	54.54	62.03	61.84	55.14	54.81	57.33	56.06	56.40	67.77	57.69	66.41	67.97	66.04	69.57	67.26	69.71	66.18	64.49	71.10	67.98	60.63	70.84	65.87	73.18	61.03	68.53	67.25	59.62	60.07	61.56	57.27	56.65	63.92	64.27	61.33	64.98	68.47	73.30
Gordonia_effusa_NBRC100432.gbff.gz	65.81	69.61	68.20	36.74	69.17	68.23	76.01	100.00	73.60	76.19	68.37	57.18	50.80	56.09	70.20	67.91	60.97	62.68	58.41	67.55	67.30	59.14	58.69	60.84	59.63	59.97	67.80	61.20	69.04	72.71	70.32	73.58	71.40	74.22	70.11	66.53	72.85	69.35	60.81	71.19	68.40	72.52	61.86	68.80	67.21	61.58	62.55	62.96	58.77	58.05	67.96	67.84	63.36	66.90	69.87	74.27
Gordonia_malaquae_NBRC108250.gbff.gz	65.44	68.29	67.25	39.36	70.92	67.95	74.95	74.68	100.00	73.74	68.39	57.89	51.60	56.91	70.52	68.21	59.59	60.63	56.75	64.50	64.46	58.63	57.88	60.60	59.40	59.33	66.87	60.64	67.57	71.52	69.86	72.29	69.59	73.10	68.58	68.11	74.83	69.16	61.65	71.48	70.48	72.74	64.23	70.21	68.62	62.59	62.69	66.43	61.98	61.13	67.79	68.73	65.55	66.12	69.42	73.93
Gordonia_soli_NBRC108243.gbff.gz	65.57	67.52	67.20	36.31	68.69	62.52	75.88	71.66	68.37	100.00	68.28	57.23	50.11	54.25	66.55	68.34	58.96	61.61	55.00	63.88	63.55	56.13	54.68	57.76	56.74	57.07	68.03	56.62	67.87	69.57	67.65	72.71	69.17	72.99	68.43	65.63	72.95	69.85	61.64	74.14	66.95	73.59	62.43	68.39	66.96	60.50	60.37	61.77	56.78	56.59	65.04	65.34	61.50	67.50	70.27	74.85
