	mean_AAI
1	
2	
3	
4	
5	77.75777777777779
6	75.53222222222222
7	78.92
8	77.23444444444445
9	75.02333333333333
10	78.83444444444444
11	78.20444444444445
12	78.08500000000001
13	79.035
14	79.57
15	
16	
17	81.495
18	80.943
19	80.92800000000001
20	93.89
21	93.89
22	79.63199999999999
23	80.191
24	81.48100000000001
25	82.152
26	82.186
27	79.62899999999999
28	78.022
29	79.715
30	
31	86.4225
32	85.84750000000001
33	87.4025
34	86.70750000000001
35	85.84
36	
37	79.07
38	86.57
39	
40	86.57
41	
42	
43	79.07
44	86.16
45	86.16
46	
47	
48	76.88
49	85.095
50	85.13499999999999
51	89.7
52	91.36
53	91.0
54	76.00666666666667
55	76.51666666666667
56	75.9877777777778
