genomes	Aldersonia_kunmingensis_DSM45001.gbff.gz	Antrihabitans_stalactiti_YC2-7.gbff.gz	Antrihabitans_stalagmiti_YC3-6.gbff.gz	Corynebacterium_diphtheriae_NCTC11397.gbff.gz	Gordonia_amarae_NBRC15530.gbff.gz	Gordonia_araii_NBRC100433.gbff.gz	Gordonia_bronchialis_DSM43247.gbff.gz	Gordonia_effusa_NBRC100432.gbff.gz	Gordonia_malaquae_NBRC108250.gbff.gz	Gordonia_soli_NBRC108243.gbff.gz	Gordonia_sputi_ATCC29627.gbff.gz	Hoyosella_altamirensis_DSM45258.gbff.gz	Hoyosella_lacisalsi_G463.gbff.gz	Hoyosella_rhizosphaerae_CGMCC1_15478.gbff.gz	Jongsikchunia_kroppenstedtii_DSM45133.gbff.gz	Millisia_brevis_NBRC105863.gbff.gz	Mycobacterium_avium_DSM44156.gbff.gz	Mycobacterium_simiae_JCM12377.gbff.gz	Mycobacterium_tuberculosis_H37Rv.gbff.gz	Mycobacteroides_abscessus_ATCC19977.gbff.gz	Mycobacteroides_chelonae_CCUG47445.gbff.gz	Mycolicibacillus_parakoreensis_DSM45575.gbff.gz	Mycolicibacillus_trivialis_DSM44153.gbff.gz	Mycolicibacter_arupensis_DSM44942.gbff.gz	Mycolicibacter_sinensis_JDM601.gbff.gz	Mycolicibacter_terrae_JCM12143.gbff.gz	Mycolicibacterium_chlorophenolicum_JCM7439_NBRC15527.gbff.gz	Mycolicibacterium_fallax_JCM6405.gbff.gz	Mycolicibacterium_setense_DSM45070.gbff.gz	Nocardia_asteroides_NCTC11293.gbff.gz	Nocardia_cyriacigeorgica_DSM44484.gbff.gz	Nocardia_mexicana_DSM44952.gbff.gz	Nocardia_pneumoniae_NBRC100136.gbff.gz	Nocardia_tenerifensis_DSM44704.gbff.gz	Nocardia_terpenica_IFM0706.gbff.gz	Rhodococcus_equi_DMS20307.gbff.gz	Rhodococcus_erythropolis_NBRC15567T.gbff.gz	Rhodococcus_fascians_NBRC12155T.gbff.gz	Rhodococcus_kroppenstedtii_DSM44908.gbff.gz	Rhodococcus_kyotonensis_JCM23211.gbff.gz	Rhodococcus_maanshanensis_NBRC100610.gbff.gz	Rhodococcus_opacus_DSM43205T.gbff.gz	Rhodococcus_rhodnii_ATCC35071.gbff.gz	Rhodococcus_rhodochrous_NBRC16069T.gbff.gz	Rhodococcus_ruber_DSM43338T.gbff.gz	Skermania_piniformis_DSM43998.gbff.gz	Smaragdicoccus_niigatensis_DSM_44881.gbff.gz	Tomitella_biformata_AHU_1821.gbff.gz	Tomitella_fengzijianii_HY188.gbff.gz	Tomitella_gaofuii_HY172.gbff.gz	Tsukamurella_paurometabola_DSM20162.gbff.gz	Tsukamurella_pulmonis_NCTC13230.gbff.gz	Tsukamurella_spumae_DSM44113.gbff.gz	Williamsia_deligens_DSM44902.gbff.gz	Williamsia_maris_DSM44693.gbff.gz	Williamsia_muralis_DSM44343.gbff.gz
Aldersonia_kunmingensis_DSM45001.gbff.gz	100.00	79.76	80.22	58.63	70.26	69.49	70.86	70.16	68.96	70.88	70.65	71.28	70.18	70.28	70.80	71.92	70.89	70.49	70.33	71.61	71.59	69.64	70.39	70.42	70.49	70.57	70.93	70.53	71.08	78.15	78.94	77.76	79.14	78.73	78.09	78.68	77.63	76.74	75.95	77.12	79.00	78.76	75.87	77.06	77.95	77.28	73.93	71.68	70.90	70.78	70.13	70.11	70.00	70.71	70.98	71.94
Antrihabitans_stalactiti_YC2-7.gbff.gz	79.76	100.00	84.47	58.17	69.99	69.11	70.58	69.84	68.69	70.54	70.41	71.17	70.05	70.34	70.35	71.90	70.67	70.36	70.07	71.60	71.52	69.43	70.05	70.14	70.09	70.18	70.92	70.33	71.20	77.65	78.46	77.48	78.97	78.56	77.62	78.62	78.23	77.31	75.66	77.47	79.37	79.21	75.54	76.94	77.66	77.11	74.15	71.50	70.50	70.37	69.96	69.90	69.80	70.70	70.84	71.73
Antrihabitans_stalagmiti_YC3-6.gbff.gz	80.22	84.47	100.00	58.15	70.28	69.22	70.82	70.21	69.08	70.80	70.51	71.47	70.41	70.61	70.67	71.95	70.75	70.40	70.28	71.76	71.77	69.80	70.29	70.17	70.20	70.28	71.05	70.51	71.23	77.96	78.86	77.85	79.28	78.95	78.11	79.28	78.87	77.88	76.25	78.06	79.91	80.05	76.00	77.23	78.25	77.21	74.08	71.86	70.64	70.63	70.29	69.99	69.93	70.98	71.05	72.09
Corynebacterium_diphtheriae_NCTC11397.gbff.gz	58.63	58.17	58.15	100.00	57.95	57.54	58.13	57.47	57.80	58.01	58.29	57.99	57.72	57.70	58.45	57.83	57.53	57.29	57.17	57.84	57.80	57.24	57.53	57.33	57.12	57.23	57.60	57.73	57.53	58.49	58.88	58.31	58.62	58.56	58.39	59.25	59.18	58.67	58.86	58.59	59.03	59.17	58.99	59.68	59.63	58.12	57.78	58.08	58.25	58.44	58.00	58.23	58.25	57.88	57.78	58.25
Gordonia_amarae_NBRC15530.gbff.gz	70.26	69.99	70.28	57.95	100.00	76.06	81.41	78.29	76.17	80.82	80.39	67.39	66.93	66.65	74.42	67.98	67.99	67.64	67.24	68.46	68.62	67.13	67.51	67.74	67.65	67.74	68.28	68.25	68.28	69.90	70.36	69.50	70.26	69.93	69.80	71.54	70.64	70.32	70.24	70.32	71.30	71.28	70.60	70.90	71.11	69.35	67.78	67.85	67.52	67.70	70.34	70.23	70.02	75.23	75.74	75.71
Gordonia_araii_NBRC100433.gbff.gz	69.49	69.11	69.22	57.54	76.06	100.00	77.05	77.78	74.51	76.96	76.48	66.74	66.29	66.30	73.35	67.26	67.66	67.35	67.08	67.80	67.76	66.91	67.54	67.33	67.35	67.31	67.72	67.74	67.64	69.20	69.51	68.68	69.37	69.08	68.84	70.29	69.48	69.31	69.56	69.34	70.21	70.29	69.81	70.06	70.30	69.00	67.33	67.12	67.10	67.22	69.53	69.49	69.34	73.51	73.66	73.78
Gordonia_bronchialis_DSM43247.gbff.gz	70.86	70.58	70.82	58.13	81.41	77.05	100.00	79.43	76.57	83.27	82.91	67.90	67.27	67.14	74.90	68.43	68.56	68.37	68.17	69.05	68.95	67.81	68.17	68.09	68.30	68.23	68.89	68.74	68.87	70.50	70.73	69.98	70.83	70.42	70.20	71.80	70.95	70.96	70.69	70.78	71.71	71.79	71.04	71.13	71.76	70.07	68.33	68.01	67.97	68.12	70.54	70.47	70.33	76.19	76.80	76.65
Gordonia_effusa_NBRC100432.gbff.gz	70.16	69.84	70.21	57.47	78.29	77.78	79.43	100.00	75.74	79.57	78.57	67.20	66.77	66.57	74.59	67.84	67.81	67.40	67.18	68.26	68.28	66.98	67.43	67.44	67.48	67.34	67.99	68.02	68.22	69.80	70.19	69.37	70.12	69.69	69.45	71.27	70.55	70.21	69.97	70.18	71.03	71.13	70.34	70.61	70.86	69.15	67.84	67.72	67.27	67.46	70.03	69.93	69.77	74.80	75.30	75.63
Gordonia_malaquae_NBRC108250.gbff.gz	68.96	68.69	69.08	57.80	76.17	74.51	76.57	75.74	100.00	76.55	75.98	66.36	66.28	66.00	72.61	67.10	66.79	66.31	66.30	67.34	67.25	66.10	66.73	66.73	66.73	66.62	67.01	67.19	67.14	69.06	69.16	68.54	69.01	68.89	68.66	70.43	69.50	69.32	69.25	69.41	70.20	70.24	69.56	69.75	70.05	67.88	66.96	67.27	66.89	67.04	69.28	69.23	69.02	72.96	73.26	73.47
Gordonia_soli_NBRC108243.gbff.gz	70.88	70.54	70.80	58.01	80.82	76.96	83.27	79.57	76.55	100.00	81.78	67.80	67.26	67.29	75.12	68.62	68.49	68.15	67.78	69.10	68.89	67.89	68.17	68.06	68.24	68.23	68.75	68.54	68.80	70.22	70.75	70.13	70.86	70.42	70.28	71.86	71.17	70.92	70.91	71.01	71.87	71.95	71.23	71.33	71.80	69.97	68.13	67.99	67.98	67.98	70.56	70.43	70.26	76.42	77.08	77.06
