genomes	Aldersonia_kunmingensis_DSM45001.gbff.gz	Antrihabitans_stalactiti_YC2-7.gbff.gz	Antrihabitans_stalagmiti_YC3-6.gbff.gz	Corynebacterium_diphtheriae_NCTC11397.gbff.gz	Gordonia_amarae_NBRC15530.gbff.gz	Gordonia_araii_NBRC100433.gbff.gz	Gordonia_bronchialis_DSM43247.gbff.gz	Gordonia_effusa_NBRC100432.gbff.gz	Gordonia_malaquae_NBRC108250.gbff.gz	Gordonia_soli_NBRC108243.gbff.gz	Gordonia_sputi_ATCC29627.gbff.gz	Hoyosella_altamirensis_DSM45258.gbff.gz	Hoyosella_lacisalsi_G463.gbff.gz	Hoyosella_rhizosphaerae_CGMCC1_15478.gbff.gz	Jongsikchunia_kroppenstedtii_DSM45133.gbff.gz	Millisia_brevis_NBRC105863.gbff.gz	Mycobacterium_avium_DSM44156.gbff.gz	Mycobacterium_simiae_JCM12377.gbff.gz	Mycobacterium_tuberculosis_H37Rv.gbff.gz	Mycobacteroides_abscessus_ATCC19977.gbff.gz	Mycobacteroides_chelonae_CCUG47445.gbff.gz	Mycolicibacillus_parakoreensis_DSM45575.gbff.gz	Mycolicibacillus_trivialis_DSM44153.gbff.gz	Mycolicibacter_arupensis_DSM44942.gbff.gz	Mycolicibacter_sinensis_JDM601.gbff.gz	Mycolicibacter_terrae_JCM12143.gbff.gz	Mycolicibacterium_chlorophenolicum_JCM7439_NBRC15527.gbff.gz	Mycolicibacterium_fallax_JCM6405.gbff.gz	Mycolicibacterium_setense_DSM45070.gbff.gz	Nocardia_asteroides_NCTC11293.gbff.gz	Nocardia_cyriacigeorgica_DSM44484.gbff.gz	Nocardia_mexicana_DSM44952.gbff.gz	Nocardia_pneumoniae_NBRC100136.gbff.gz	Nocardia_tenerifensis_DSM44704.gbff.gz	Nocardia_terpenica_IFM0706.gbff.gz	Rhodococcus_equi_DMS20307.gbff.gz	Rhodococcus_erythropolis_NBRC15567T.gbff.gz	Rhodococcus_fascians_NBRC12155T.gbff.gz	Rhodococcus_kroppenstedtii_DSM44908.gbff.gz	Rhodococcus_kyotonensis_JCM23211.gbff.gz	Rhodococcus_maanshanensis_NBRC100610.gbff.gz	Rhodococcus_opacus_DSM43205T.gbff.gz	Rhodococcus_rhodnii_ATCC35071.gbff.gz	Rhodococcus_rhodochrous_NBRC16069T.gbff.gz	Rhodococcus_ruber_DSM43338T.gbff.gz	Skermania_piniformis_DSM43998.gbff.gz	Smaragdicoccus_niigatensis_DSM_44881.gbff.gz	Tomitella_biformata_AHU_1821.gbff.gz	Tomitella_fengzijianii_HY188.gbff.gz	Tomitella_gaofuii_HY172.gbff.gz	Tsukamurella_paurometabola_DSM20162.gbff.gz	Tsukamurella_pulmonis_NCTC13230.gbff.gz	Tsukamurella_spumae_DSM44113.gbff.gz	Williamsia_deligens_DSM44902.gbff.gz	Williamsia_maris_DSM44693.gbff.gz	Williamsia_muralis_DSM44343.gbff.gz
Aldersonia_kunmingensis_DSM45001.gbff.gz	100.00	63.98	63.88	38.74	60.95	58.64	61.56	60.97	59.12	62.64	59.75	56.12	53.16	55.64	61.69	57.53	60.40	58.93	53.60	58.09	58.48	60.17	57.56	57.32	59.20	60.53	57.39	58.16	62.90	60.83	61.16	56.96	58.41	53.22	48.93	65.62	62.99	60.11	59.26	61.68	66.31	60.61	58.86	66.03	64.47	62.38	57.56	61.75	59.14	56.80	58.64	57.06	54.87	60.84	61.52	64.15
Antrihabitans_stalactiti_YC2-7.gbff.gz	63.98	100.00	71.62	34.08	57.28	56.60	60.17	60.29	58.22	60.95	59.54	56.06	52.02	54.23	60.45	57.42	56.47	56.61	51.59	58.49	59.25	55.46	55.08	55.85	54.33	56.52	56.85	53.47	59.90	62.46	61.69	58.79	60.11	56.93	51.91	61.33	63.20	60.57	57.57	61.11	64.14	61.10	56.40	61.83	61.11	59.70	61.99	57.98	54.57	53.24	59.07	58.04	55.31	60.99	62.04	62.93
Antrihabitans_stalagmiti_YC3-6.gbff.gz	63.88	71.62	100.00	36.23	58.03	57.57	60.82	61.05	59.11	62.05	60.42	58.37	53.88	56.44	60.54	59.17	54.75	55.01	50.83	58.88	59.44	54.56	54.49	55.33	53.10	54.93	56.39	52.93	59.42	63.68	62.90	59.07	60.59	57.19	52.39	62.77	64.71	63.04	59.21	62.83	65.17	61.72	58.80	62.67	61.96	59.52	60.28	59.18	55.58	54.33	60.77	59.88	57.19	61.12	62.67	63.74
Corynebacterium_diphtheriae_NCTC11397.gbff.gz	38.74	34.08	36.23	100.00	40.58	43.33	41.67	42.00	44.08	41.23	42.32	39.60	46.35	48.50	43.26	41.00	38.17	35.74	39.22	37.60	38.19	41.10	42.61	39.98	37.67	38.85	33.41	41.75	35.88	35.49	37.52	31.33	33.96	29.39	28.61	43.19	39.66	41.16	45.83	39.94	40.74	34.12	44.08	43.11	41.51	42.53	37.11	44.19	45.29	43.51	44.57	42.42	41.83	44.34	42.47	41.42
Gordonia_amarae_NBRC15530.gbff.gz	60.95	57.28	58.03	40.58	100.00	63.52	66.51	64.74	64.80	65.97	65.52	54.30	53.04	55.78	62.85	59.27	56.84	55.06	52.22	56.53	56.92	58.09	56.43	55.97	56.70	57.55	54.02	57.64	59.38	56.40	56.01	52.54	53.59	49.69	45.55	60.31	60.73	58.41	58.31	59.36	60.24	55.66	58.29	63.15	60.47	59.98	53.56	60.34	58.50	56.25	60.85	58.87	58.50	62.46	63.20	65.18
Gordonia_araii_NBRC100433.gbff.gz	58.64	56.60	57.57	43.33	63.52	100.00	64.94	69.36	67.64	65.24	63.16	55.10	55.80	59.50	68.20	56.63	57.11	54.56	55.01	58.77	59.83	60.25	61.38	59.05	57.95	59.50	51.51	58.78	58.21	56.37	58.37	51.07	53.57	47.86	43.69	60.43	58.57	55.79	58.07	55.72	61.79	51.75	58.50	61.12	59.23	60.79	54.97	61.76	60.48	57.73	61.81	60.62	58.57	62.86	61.92	63.33
Gordonia_bronchialis_DSM43247.gbff.gz	61.56	60.17	60.82	41.67	66.51	64.94	100.00	68.56	66.59	70.80	71.84	56.61	54.05	57.17	65.75	60.85	56.77	55.82	53.49	58.67	59.34	57.64	58.16	57.43	55.87	57.18	56.53	57.32	60.12	58.28	58.49	53.94	55.94	51.38	47.44	63.05	63.15	61.08	61.17	61.61	62.97	59.15	60.25	64.58	63.20	59.48	55.40	61.98	59.78	57.98	63.32	62.09	59.97	66.01	67.41	69.09
Gordonia_effusa_NBRC100432.gbff.gz	60.97	60.29	61.05	42.00	64.74	69.36	68.56	100.00	69.17	69.63	66.92	55.90	54.78	58.51	68.77	59.05	57.65	56.00	54.78	61.46	62.13	59.22	59.85	59.05	57.07	58.66	54.50	58.67	60.21	59.78	59.82	54.54	56.98	51.98	48.23	62.98	62.60	60.00	60.02	59.45	63.64	56.33	59.54	62.80	60.96	60.59	56.40	62.25	60.55	58.26	65.02	63.60	60.82	66.14	66.63	67.27
Gordonia_malaquae_NBRC108250.gbff.gz	59.12	58.22	59.11	44.08	64.80	67.64	66.59	69.17	100.00	66.06	65.66	55.77	55.20	58.74	68.11	59.21	55.82	53.69	53.13	58.12	58.72	58.54	59.09	58.11	56.56	57.63	53.18	58.17	58.11	58.07	58.74	52.44	54.12	49.78	46.03	63.54	63.14	59.29	60.41	58.92	63.89	55.34	60.52	63.38	61.33	60.23	55.37	64.18	62.39	60.11	64.31	63.66	61.88	64.25	64.98	66.06
Gordonia_soli_NBRC108243.gbff.gz	62.64	60.95	62.05	41.23	65.97	65.24	70.80	69.63	66.06	100.00	68.95	57.15	54.71	57.52	67.05	61.39	57.79	57.40	53.42	60.26	60.65	58.27	57.69	57.93	56.70	58.23	56.99	56.12	61.85	59.52	59.70	56.40	57.52	53.85	49.45	63.87	64.47	62.73	62.32	64.51	64.22	59.19	61.18	64.32	62.20	60.57	55.92	62.20	59.30	57.95	63.93	62.85	60.57	68.55	69.46	70.67
